Year,Month,Milk.Prod
1995,Jan,2.112
1995,Feb,1.932
1995,Mar,2.162
1995,Apr,2.13
1995,May,2.227
1995,Jun,2.124
1995,Jul,2.184
1995,Aug,2.152
1995,Sep,2.062
1995,Oct,2.121
1995,Nov,2.03
1995,Dec,2.091
1996,Jan,2.109
1996,Feb,1.996
1996,Mar,2.173
1996,Apr,2.163
1996,May,2.233
1996,Jun,2.142
1996,Jul,2.182
1996,Aug,2.129
1996,Sep,2.138
1996,Oct,2.215
1996,Nov,2.156
1996,Dec,2.212
1997,Jan,2.177
1997,Feb,2.028
1997,Mar,2.361
1997,Apr,2.358
1997,May,2.417
1997,Jun,2.314
1997,Jul,2.386
1997,Aug,2.366
1997,Sep,2.258
1997,Oct,2.351
1997,Nov,2.263
1997,Dec,2.303
1998,Jan,2.341
1998,Feb,2.081
1998,Mar,2.344
1998,Apr,2.314
1998,May,2.432
1998,Jun,2.317
1998,Jul,2.309
1998,Aug,2.271
1998,Sep,2.185
1998,Oct,2.363
1998,Nov,2.283
1998,Dec,2.38
1999,Jan,2.439
1999,Feb,2.245
1999,Mar,2.605
1999,Apr,2.575
1999,May,2.659
1999,Jun,2.503
1999,Jul,2.51
1999,Aug,2.602
1999,Sep,2.517
1999,Oct,2.605
1999,Nov,2.542
1999,Dec,2.642
2000,Jan,2.71
2000,Feb,2.558
2000,Mar,2.741
2000,Apr,2.733
2000,May,2.797
2000,Jun,2.673
2000,Jul,2.783
2000,Aug,2.68
2000,Sep,2.597
2000,Oct,2.684
2000,Nov,2.586
2000,Dec,2.703
2001,Jan,2.751
2001,Feb,2.529
2001,Mar,2.81
2001,Apr,2.788
2001,May,2.885
2001,Jun,2.783
2001,Jul,2.816
2001,Aug,2.817
2001,Sep,2.707
2001,Oct,2.804
2001,Nov,2.718
2001,Dec,2.809
2002,Jan,2.85
2002,Feb,2.646
2002,Mar,2.997
2002,Apr,2.948
2002,May,3.087
2002,Jun,2.979
2002,Jul,2.998
2002,Aug,3.006
2002,Sep,2.834
2002,Oct,2.945
2002,Nov,2.824
2002,Dec,2.951
2003,Jan,2.993
2003,Feb,2.774
2003,Mar,3.11
2003,Apr,3.033
2003,May,3.092
2003,Jun,2.972
2003,Jul,2.966
2003,Aug,2.971
2003,Sep,2.831
2003,Oct,2.921
2003,Nov,2.821
2003,Dec,2.953
2004,Jan,2.994
2004,Feb,2.858
2004,Mar,3.104
2004,Apr,3.072
2004,May,3.148
2004,Jun,3.026
2004,Jul,3.078
2004,Aug,3.076
2004,Sep,2.979
2004,Oct,3.08
2004,Nov,2.96
2004,Dec,3.09
2005,Jan,3.078
2005,Feb,2.848
2005,Mar,3.226
2005,Apr,3.188
2005,May,3.292
2005,Jun,3.182
2005,Jul,3.126
2005,Aug,3.157
2005,Sep,3.084
2005,Oct,3.151
2005,Nov,3.053
2005,Dec,3.179
2006,Jan,3.241
2006,Feb,3.042
2006,Mar,3.428
2006,Apr,3.309
2006,May,3.383
2006,Jun,3.206
2006,Jul,3.122
2006,Aug,3.292
2006,Sep,3.147
2006,Oct,3.227
2006,Nov,3.136
2006,Dec,3.297
2007,Jan,3.369
2007,Feb,3.15
2007,Mar,3.553
2007,Apr,3.449
2007,May,3.477
2007,Jun,3.341
2007,Jul,3.45
2007,Aug,3.456
2007,Sep,3.252
2007,Oct,3.415
2007,Nov,3.312
2007,Dec,3.459
2008,Jan,3.492
2008,Feb,3.33
2008,Mar,3.638
2008,Apr,3.515
2008,May,3.583
2008,Jun,3.417
2008,Jul,3.417
2008,Aug,3.397
2008,Sep,3.275
2008,Oct,3.386
2008,Nov,3.312
2008,Dec,3.441
2009,Jan,3.453
2009,Feb,3.139
2009,Mar,3.505
2009,Apr,3.433
2009,May,3.512
2009,Jun,3.283
2009,Jul,3.249
2009,Aug,3.243
2009,Sep,3.069
2009,Oct,3.207
2009,Nov,3.133
2009,Dec,3.286
2010,Jan,3.37
2010,Feb,3.089
2010,Mar,3.481
2010,Apr,3.431
2010,May,3.545
2010,Jun,3.394
2010,Jul,3.401
2010,Aug,3.401
2010,Sep,3.294
2010,Oct,3.346
2010,Nov,3.266
2010,Dec,3.367
2011,Jan,3.39
2011,Feb,3.161
2011,Mar,3.59
2011,Apr,3.519
2011,May,3.675
2011,Jun,3.511
2011,Jul,3.535
2011,Aug,3.502
2011,Sep,3.312
2011,Oct,3.428
2011,Nov,3.343
2011,Dec,3.496
2012,Jan,3.617
2012,Feb,3.506
2012,Mar,3.804
2012,Apr,3.632
2012,May,3.744
2012,Jun,3.523
2012,Jul,3.498
2012,Aug,3.304
2012,Sep,3.184
2012,Oct,3.307
2012,Nov,3.264
2012,Dec,3.418
2013,Jan,3.462
2013,Feb,3.231
2013,Mar,3.676
2013,Apr,3.622
2013,May,3.72
2013,Jun,3.489
2013,Jul,3.373
2013,Aug,3.4
2013,Sep,3.197
2013,Oct,3.338
2013,Nov,3.275
2013,Dec,3.473
